"STATION","NAME","DATE","PGTM","PRCP","SNOW","SNWD","TMAX","TMIN","WDF1","WDFG","WDFI","WDFM","WSF1","WSFG","WSFI","WSFM","WT01","WT03","WT04","WT05","WT06","WT08","WT11","WT14","WT16","WT18"
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-01",,"0.00","0.0","0","60","48",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-02",,"0.00","0.0","0","52","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-03",,"0.31","0.0","0","55","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-04",,"0.14","0.0","0","53","47",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-05",,"0.00","0.0","0","53","47",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-06",,"0.59","0.0","0","55","47",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-07",,"0.03","0.0","0","52","46",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-08",,"0.00","0.0","0","46","41",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-09",,"0.00","0.0","0","42","35",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-10",,"0.01","0.0","0","40","34",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-11",,"0.20","0.0","0","50","39",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-12",,"0.11","0.0","0","47","42",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-13",,"0.29","0.0","0","45","40",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-14",,"0.20","0.0","0","49","40",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-15",,"0.20","0.0","0","48","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-16",,"0.06","0.0","0","49","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-17",,"0.43","0.0","0","55","45",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-18",,"0.04","0.0","0","48","41",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-19",,"0.00","0.0","0","45","34",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-20",,"0.00","0.0","0","40","33",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-21",,"0.01","0.0","0","42","36",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-22",,"0.01","0.0","0","48","40",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-23",,"0.00","0.0","0","50","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-24",,"0.09","0.0","0","50","41",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-25",,"0.05","0.0","0","43","38",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-26",,"0.00","0.0","0","45","34",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-27",,"0.00","0.0","0","49","39",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-28",,"0.11","0.0","0","52","39",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-29",,"0.06","0.0","0","43","37",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-30",,"0.00","0.0","0","37","26",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-01-31",,"0.00","0.0","0","35","24",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-01",,"0.49","4.5","5","36","26",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-02",,"0.06","0.5","3","42","36",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-03",,"0.20","0.0","0","51","38",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-04",,"0.88","0.0","0","53","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-05",,"0.19","0.0","0","50","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-06",,"0.54","0.0","0","50","45",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-07",,"0.00","0.0","0","48","40",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-08",,"0.00","0.0","0","54","42",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-09",,"0.62","0.0","0","54","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-10",,"0.47","0.0","0","45","41",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-11",,"0.09","0.0","0","44","38",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-12",,"0.03","0.0","0","43","34",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-13",,"0.05","0.0","0","41","33",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-14",,"0.02","0.0","0","42","32",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-15",,"0.02","0.0","0","44","33",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-16",,"0.43","0.0","0","43","33",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-17",,"0.11","0.0","0","38","32",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-18",,"0.00","0.0","0","39","30",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-19",,"0.00","0.0","0","40","28",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-20",,"0.00","0.0","0","39","30",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-21",,"0.00","0.0","0","43","28",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-22",,"0.03","0.0","0","42","32",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-23",,"0.33","0.0","0","42","32",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-24",,"0.00","1.0","0","42","32",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-25",,"0.18","0.0","0","42","34",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-26",,"0.03","0.0","0","46","36",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-27",,"0.00","0.0","0","45","33",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-02-28",,"0.04","0.0","0","53","36",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-01",,"0.13","0.0","0","47","39",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-02",,"0.00","0.0","0","47","32",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-03",,"0.24","0.0","0","44","32",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-04",,"0.01","0.0","0","42","32",,,,,,,,,,,,,,,,,,
